-29.667102959382742,
-28.961246035388477,
-28.81427303996604,
-28.730575994101706,
-28.6746272031722,
-28.634105325510212,
-28.60363030723641,
-28.580364756651598,
-28.562502921221874,
-28.548756142956872,
-28.538161269052154,
-28.529987171964944,
-28.523675631448228,
-28.5187991156423,
-28.515029442919722,
-28.512114234249793,
-28.50985911541226,
-28.508114206192808,
-28.506763825344155,
-28.50571862051507,
-28.504909535644877,
-28.50428317659172,
-28.503798244608095,
-28.503422787773925,
-28.503132080478007,
-28.502906986048465,
-28.50273269161743,
-28.502597730101108,
-28.502493223839966,
-28.50241229948513,
